Modelo,Tipo,k,Macro_Precision,Macro_Recall,Macro_F1,Micro_Precision,Micro_Recall,Micro_F1,TP,FP,FN
API GPT‑4o_3char,3 Caracteres,5,0.30637123246792003,0.4953830413096303,0.3611394524107147,0.30369718309859156,0.47701348081576217,0.3711173860427592,1380,3164,1513
API Gemini_3char,3 Caracteres,5,0.18554162936436885,0.3430234045274332,0.22894009402514323,0.18480032599837,0.31351538195644657,0.23253429047558005,907,4001,1986
Agregado_Borda_3char,3 Caracteres,5,0.3077887197851388,0.6329166133776698,0.39168133666790783,0.3075958437835901,0.5935015554787418,0.4051917404129794,1717,3865,1176
Agregado_Pluralidade_3char,3 Caracteres,5,0.3059982094897046,0.6220691051711643,0.38784485185559486,0.30580437119312076,0.5900449360525406,0.40283185840707963,1707,3875,1186
API Maritalk_3char,3 Caracteres,6,0.24443449716502533,0.5344172315300336,0.317680223387475,0.24377942165433758,0.5012098167991704,0.3280171926252687,1450,4498,1443
API Deep-Seek_3char,3 Caracteres,6,0.259579230080573,0.5398537749925395,0.3351200873134625,0.26211415761338164,0.5254061527825786,0.34974689369535206,1520,4279,1373
API GPT-Mini_3char,3 Caracteres,6,0.26219039092808116,0.5428592744170184,0.3359452071851356,0.26157366660799153,0.5136536467334947,0.34662934452997435,1486,4195,1407
API GPT‑4o_3char,3 Caracteres,6,0.30183527305282004,0.5001097753335891,0.35964439668557846,0.2971828002541834,0.4849637054960249,0.36853165221959544,1403,3318,1490
API Gemini_3char,3 Caracteres,6,0.18263205013428827,0.3520814682184422,0.22949779256851774,0.18225558121632024,0.3273418596612513,0.23414513536901965,947,4249,1946
Agregado_Borda_3char,3 Caracteres,6,0.26991942703670546,0.6591220104872746,0.36325833472207686,0.2696729879050321,0.6242654683719322,0.3766423357664233,1806,4891,1087
Agregado_Pluralidade_3char,3 Caracteres,6,0.2702178454192778,0.6552926631709085,0.3627927106217169,0.2699716290876512,0.6249567922571725,0.37705943691345156,1808,4889,1085
API Maritalk_3char,3 Caracteres,7,0.23712964147162896,0.5406253996674767,0.31274502993919495,0.23482555360841167,0.5095057034220533,0.3214830970556162,1474,4803,1419
API Deep-Seek_3char,3 Caracteres,7,0.25293089482883574,0.5418478492560856,0.3305833288191496,0.2554963357761492,0.5302454199792603,0.3448353377542992,1534,4470,1359
API GPT-Mini_3char,3 Caracteres,7,0.2601547512469625,0.5452615423967259,0.335310068834741,0.25907990314769974,0.5178015900449361,0.34536023054755044,1498,4284,1395
API GPT‑4o_3char,3 Caracteres,7,0.3009314916656009,0.5026239502067613,0.35990296325753696,0.29509906152241916,0.48911164880746627,0.3681061394380853,1415,3380,1478
